business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"1 King St W, Toronto, ON M5H 1A1, Canada","{'location': {'lat': 43.6488726, 'lng': -79.37807219999999}, 'viewport': {'northeast': {'lat': 43.65015407989272, 'lng': -79.37665397010727}, 'southwest': {'lat': 43.64745442010728, 'lng': -79.37935362989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,One King West Hotel & Residence,{'open_now': True},"[{'height': 4931, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104809516013901515576"">A Google User</a>'], 'photo_reference': 'Aaw_FcKfxpXQuDSbfg5W7g8VEsTSwCobjQevrbqQiWn1SaJn7aYE8GJcg4tQt4oqa6WHizUlYRDTgp5K0Wf3-QmSqxxc5AJQBJG_fzIVyylPTgQGzXA9PXuPIdiqEdncC8QLDZ6zjocszQlyTvqp5sIHd2QyMScalgbM9-6kAISaWRRe3bNi', 'width': 3933}]",ChIJG74DgzLL1IkRu7-_ro1TbdY,"{'compound_code': 'JJXC+GQ Toronto, Ontario', 'global_code': '87M2JJXC+GQ'}",4.4,ChIJG74DgzLL1IkRu7-_ro1TbdY,"['lodging', 'point_of_interest', 'establishment']",4771
OPERATIONAL,"145 Richmond St W, Toronto, ON M5H 2L2, Canada","{'location': {'lat': 43.6498523, 'lng': -79.3855762}, 'viewport': {'northeast': {'lat': 43.65129587989272, 'lng': -79.38438047010727}, 'southwest': {'lat': 43.64859622010727, 'lng': -79.38708012989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Hilton Toronto,,"[{'height': 833, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116685620908327060118"">A Google User</a>'], 'photo_reference': 'Aaw_FcIo68_cWqCvClXFHtT7pD7ErNrJytrcra69QVWXEu0H4KhfWW0a3pI6D3u-UQFIG8kGvpyoQItd3rmm2XSdjm_s5Nhd2na-eSAbnUTRiNmrNbGAxdf-tODHb5uLk354tqJNvZKLF0y8fSduRlomAVeZA2IO_i21KWb_as3ILByvROyP', 'width': 1250}]",ChIJJd9P-800K4gRvTdTqtNCmQw,"{'compound_code': 'JJX7+WQ Toronto, Ontario', 'global_code': '87M2JJX7+WQ'}",4.2,ChIJJd9P-800K4gRvTdTqtNCmQw,"['lodging', 'point_of_interest', 'establishment']",4746
OPERATIONAL,"100 Front St W, Toronto, ON M5J 1E3, Canada","{'location': {'lat': 43.6460303, 'lng': -79.381388}, 'viewport': {'northeast': {'lat': 43.64712042989273, 'lng': -79.37939320000001}, 'southwest': {'lat': 43.64442077010728, 'lng': -79.3836548}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Fairmont Royal York,,"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112755784118987514473"">A Google User</a>'], 'photo_reference': 'Aaw_FcLsWA0kScLx-2J0oActyzl2qMk5Lb-quFXxXln8q_u3J4r23VytR31i2qOT0yk8K3luGBLfsrExCF6TA2NjAxPLlvlBXy1wLUWiB-DZgQhZ_rk96By-1KwFJH0BpUq-kp3546YDkIe2Vgh1gmpD7dU-jPB8UUoHHlUwb7oiyBXVxRWf', 'width': 1621}]",ChIJYY4qFdM0K4gRDydzDiP-VAE,"{'compound_code': 'JJW9+CC Toronto, Ontario', 'global_code': '87M2JJW9+CC'}",4.5,ChIJYY4qFdM0K4gRDydzDiP-VAE,"['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",10274
OPERATIONAL,"335 Queen St W, Toronto, ON M5V 2A1, Canada","{'location': {'lat': 43.6495352, 'lng': -79.3920895}, 'viewport': {'northeast': {'lat': 43.65094112989273, 'lng': -79.39076257010727}, 'southwest': {'lat': 43.64824147010729, 'lng': -79.39346222989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sonder The Beverley,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103765620440724943913"">A Google User</a>'], 'photo_reference': 'Aaw_FcJzAujicm-UUF1rGbOrwAIctfxRpghjFA9Ig-1SYDbdzUu6uOk2lDz6vJ1b65belyIYOdEGS1chI-fvN2G455b_9RFA0HosfC6_6ie-QHj8HJbJ_2RzSPljwxZXDmX06VVt-5otp5ule31PbgYJdWSHCwLPP7_62DaeFBCYjpfnSRg6', 'width': 2880}]",ChIJ5ckdpto0K4gRy_vh682Diic,"{'compound_code': 'JJX5+R5 Toronto, Ontario', 'global_code': '87M2JJX5+R5'}",4,ChIJ5ckdpto0K4gRy_vh682Diic,"['lodging', 'point_of_interest', 'establishment']",377
OPERATIONAL,"30 Mercer St, Toronto, ON M5V 3C6, Canada","{'location': {'lat': 43.6458047, 'lng': -79.3911135}, 'viewport': {'northeast': {'lat': 43.64704832989273, 'lng': -79.38974802010728}, 'southwest': {'lat': 43.64434867010728, 'lng': -79.39244767989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Le Germain Hotel Toronto Mercer,{'open_now': True},"[{'height': 3387, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116603943383499869306"">Hotel Le Germain</a>'], 'photo_reference': 'Aaw_FcJK2SobaRr_ddaTtI0OSEELRVpFbhGFR7OT4GuP5gOXKQr11nfspOmdPjUeRhhUpEEdDu1369ik7A62H0z37j_UIfChF8RCFlXqJRO4sZXsWarUqfs1qgkzNF2tsDI0st7ewuzd9Np86EzvVjVPqUGFOTHog5NRZVgZwRZE9Lv29QOZ', 'width': 2478}]",ChIJ6xi8r9A0K4gRXc561SdLfyY,"{'compound_code': 'JJW5+8H Toronto, Ontario', 'global_code': '87M2JJW5+8H'}",4.6,ChIJ6xi8r9A0K4gRXc561SdLfyY,"['lodging', 'point_of_interest', 'establishment']",754
OPERATIONAL,"108 Chestnut St, Toronto, ON M5G 1R3, Canada","{'location': {'lat': 43.6546342, 'lng': -79.3860349}, 'viewport': {'northeast': {'lat': 43.65600242989273, 'lng': -79.38458997010727}, 'southwest': {'lat': 43.65330277010728, 'lng': -79.38728962989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,DoubleTree by Hilton Hotel Toronto Downtown,,"[{'height': 3067, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100669020783001394883"">DoubleTree by Hilton Hotel Toronto Downtown</a>'], 'photo_reference': 'Aaw_FcKddEpk2OoMJujVBOPnc0ICEbHhaIrPuW0PhoBabVh6CKDY3pY7560rgIxhGSxsSsLdqsMqtWC8LtjjggGH-i3NiN8sa9sfd5DFGxra4Mwg6GRKXBm7OPKvkQ6aHRye7sgab3LtnFfykS2-SJ0LjfKXUL7-SaYLtE2xcT0fO2AQl0Pw', 'width': 4600}]",ChIJQWvD_cs0K4gRoBKRBM241j8,"{'compound_code': 'MJ37+VH Toronto, Ontario', 'global_code': '87M2MJ37+VH'}",4.1,ChIJQWvD_cs0K4gRoBKRBM241j8,"['lodging', 'point_of_interest', 'establishment']",4113
OPERATIONAL,"475 Yonge St, Toronto, ON M4Y 1X7, Canada","{'location': {'lat': 43.66237960000001, 'lng': -79.3830885}, 'viewport': {'northeast': {'lat': 43.66366087989272, 'lng': -79.38141517010727}, 'southwest': {'lat': 43.66096122010728, 'lng': -79.38411482989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Courtyard by Marriott Toronto Downtown,,"[{'height': 320, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110673256294117129386"">Courtyard Toronto Downtown</a>'], 'photo_reference': 'Aaw_FcK8CYdTeNqEDxRAMgRS0h1DaCU92tqXesUAhmAXjC4tGt5EgHjOdHRfuH98UNvP_2GT7ZSVx1P7UFLfK0ksicmJ_c9ppdGOlQCMqcDyKuK8UzCR7GGuEiO5ACh0KBdJphX15XbUQmREHiVnLoXepNcsz0ihKYTu0PLz6B4WIiwo8GXS', 'width': 480}]",ChIJW7OlX7Q0K4gR5IBJmoKVM34,"{'compound_code': 'MJ68+XQ Toronto, Ontario', 'global_code': '87M2MJ68+XQ'}",4.1,ChIJW7OlX7Q0K4gR5IBJmoKVM34,"['lodging', 'point_of_interest', 'establishment']",4088
OPERATIONAL,"123 Queen St W, Toronto, ON M5H 2M9, Canada","{'location': {'lat': 43.6511953, 'lng': -79.38425660000001}, 'viewport': {'northeast': {'lat': 43.65259122989272, 'lng': -79.38302707010729}, 'southwest': {'lat': 43.64989157010728, 'lng': -79.38572672989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Sheraton Centre Toronto Hotel,,"[{'height': 320, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114231627039200315036"">Sheraton Centre Toronto Hotel</a>'], 'photo_reference': 'Aaw_FcLcJk6vtfrM1UkWluZDwuEZ_3E7HspW6Jw13RSc91hdG3Qw0DTsUiFGPMbPRNd7sjfG5YeXTeABBPmfx8ArZJngTVASphcZqJzzkFHgf6pKcV22vR1d5Jpak2nI4A8KY_C_gu6QuOdThpi-VFwkpzq08dK0A4TJt6MKZ7pA-Q1OP55h', 'width': 480}]",ChIJxVYPt800K4gRFtI3GZJCKx4,"{'compound_code': 'MJ28+F7 Toronto, Ontario', 'global_code': '87M2MJ28+F7'}",4.3,ChIJxVYPt800K4gRFtI3GZJCKx4,"['lodging', 'point_of_interest', 'establishment']",8351
OPERATIONAL,"14 York St, Toronto, ON M5J 0B1, Canada","{'location': {'lat': 43.6420018, 'lng': -79.38138119999999}, 'viewport': {'northeast': {'lat': 43.64348822989272, 'lng': -79.38004252010727}, 'southwest': {'lat': 43.64078857010728, 'lng': -79.3827421798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Aaira Suites,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110627943208904199550"">A Google User</a>'], 'photo_reference': 'Aaw_FcKKXt7tLwOn8EsrGvkJQP8wfOhW9MvRpxt6fxAqXl7o2BgG-fNeUAtOUc8AePScjBoPKjtabhLV0JtaLYKWYq4UPFyvVO2yeassGJwZS3L58K-KdfUAgr9gmIlhaRmJE6wU2KvkldpNWBVz7E0sbRBZr1r-YtCSb-DHmf8zWu7w-_5N', 'width': 3024}]",ChIJGWaDINU0K4gR1Kn67pB4z6E,"{'compound_code': 'JJR9+Q9 Toronto, Ontario', 'global_code': '87M2JJR9+Q9'}",3.9,ChIJGWaDINU0K4gR1Kn67pB4z6E,"['lodging', 'point_of_interest', 'establishment']",16
OPERATIONAL,"75 Lower Simcoe St, Toronto, ON M5J 3A6, Canada","{'location': {'lat': 43.6430689, 'lng': -79.383865}, 'viewport': {'northeast': {'lat': 43.64433827989272, 'lng': -79.38273812010728}, 'southwest': {'lat': 43.64163862010728, 'lng': -79.38543777989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Delta Hotels by Marriott Toronto,,"[{'height': 320, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107233271373721392683"">Delta Toronto</a>'], 'photo_reference': 'Aaw_FcIRtmjeLCs6gJS-Dz31lwjHGCiuF2cTnmOfcV2F_UUASTfxp_dIg1WIenuwUBqbyephZA29KaGDuhXGXsHUdUeJVZ-JUy5HgaQOVR-C-tUjy8h96J_1IUGx_skWgAzcCzwqW0x0JdLxHIWvxvQdA12C2Tt_4pglBsq8-OPZAICbGkTZ', 'width': 480}]",ChIJuYrhUdQ0K4gRUSw-PfCMWac,"{'compound_code': 'JJV8+6F Toronto, Ontario', 'global_code': '87M2JJV8+6F'}",4.6,ChIJuYrhUdQ0K4gRUSw-PfCMWac,"['lodging', 'point_of_interest', 'establishment']",4278
OPERATIONAL,"15 Charles St E, Toronto, ON M4Y 1S1, Canada","{'location': {'lat': 43.6685029, 'lng': -79.3854471}, 'viewport': {'northeast': {'lat': 43.66997067989272, 'lng': -79.38413187010728}, 'southwest': {'lat': 43.66727102010727, 'lng': -79.38683152989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"The Anndore House, part of JDV by Hyatt",{'open_now': True},"[{'height': 1278, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111000977311012258440"">A Google User</a>'], 'photo_reference': 'Aaw_FcKWGpJeTYd3vfbCncJPnQOhLz0byiI3z5h9jvsv_o-AdMDzqDvnF_1UvDcWG-zzAdTRgUns8wq0QslANxxFmDY-G1hkpdYG9VxWxoleRj6zCUa_wSWUD4vfNeQ9cNiTy0WeqOWdXA5k50Pg7IDruaMrnSzm7GeNEAGoBy6m0-JzrK8v', 'width': 2048}]",ChIJpW1C-K00K4gRhk32KjhTiaE,"{'compound_code': 'MJ97+CR Toronto, Ontario', 'global_code': '87M2MJ97+CR'}",4.4,ChIJpW1C-K00K4gRhk32KjhTiaE,"['lodging', 'point_of_interest', 'establishment']",643
OPERATIONAL,"650 1/2 Queen St W, Toronto, ON M6J 1E4, Canada","{'location': {'lat': 43.6468534, 'lng': -79.40652}, 'viewport': {'northeast': {'lat': 43.64818377989273, 'lng': -79.40518607010728}, 'southwest': {'lat': 43.64548412010728, 'lng': -79.40788572989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Palmerston,{'open_now': True},"[{'height': 320, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114505554621793220012"">A Google User</a>'], 'photo_reference': 'Aaw_FcKuvfxvMOWFAiX2jp11YGYaghKmQPl8_Ae9s0s3YAJuerL1y0Hq1OE61C_Rhd0yPvNO-Cywjl7Z8SKN1mH5nBh92yz1eG_F8QliFKwmy8pY5On22eZsTiR7PdZzJf9zo1jepG07rttj-e9WkrqsBel2YrWJ7p7tQqPGda3X8Ecjen6y', 'width': 570}]",ChIJAQDUzeY0K4gRTPpwFGajCsY,"{'compound_code': 'JHWV+PC Toronto, Ontario', 'global_code': '87M2JHWV+PC'}",3.1,ChIJAQDUzeY0K4gRTPpwFGajCsY,"['lodging', 'point_of_interest', 'establishment']",150
OPERATIONAL,"51 Camden St, Toronto, ON M5V 1V2, Canada","{'location': {'lat': 43.6467366, 'lng': -79.3981354}, 'viewport': {'northeast': {'lat': 43.64816172989271, 'lng': -79.39681482010728}, 'southwest': {'lat': 43.64546207010727, 'lng': -79.39951447989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Ace Hotel Toronto,,"[{'height': 2750, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103751693933998741917"">A Google User</a>'], 'photo_reference': 'Aaw_FcKVQPRIilCkAPRS4U2_3Joia4_0NYoF_yIslCc9EiW-TxcoXTUjUIDUFnaEql13tmsgmsfyKCOy_UU_dsCDn_f97Kiqc5gc-2tcJPo16A_h4VsYYegvKGEag7w6mSlIkU4QNaQYBC77Ggnvp9f6ZKEmNfcpc0mJeBU-gXHImEA_ruM6', 'width': 2200}]",ChIJMQFGybY1K4gR2O_N2BB9e0U,"{'compound_code': 'JJW2+MP Toronto, Ontario', 'global_code': '87M2JJW2+MP'}",4.6,ChIJMQFGybY1K4gR2O_N2BB9e0U,"['lodging', 'point_of_interest', 'establishment']",227
