id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
yeesT9W64tpVq5Gcae18Sg,delta-hotels-by-marriott-toronto-toronto-2,Delta Hotels by Marriott Toronto,https://s3-media2.fl.yelpcdn.com/bphoto/TRWtlSqxSKbAaYDemIV-JQ/o.jpg,False,https://www.yelp.com/biz/delta-hotels-by-marriott-toronto-toronto-2?adjust_creative=2UZ2oPtSQaFl4RZKcxZVMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2UZ2oPtSQaFl4RZKcxZVMw,161,hotels,4.0,[],2.0,+14168491200,+1 416-849-1200,3623.820220432106,43.643068947579,-79.3838649988174,75 Lower Simcoe Street,,,Toronto,M5J 3A6,CA,ON,"['75 Lower Simcoe Street', 'Toronto, ON M5J 3A6', 'Canada']"
kKnGY0Xj7dG4ubjrbygynw,residence-inn-by-marriott-toronto-downtown-toronto,Residence Inn by Marriott Toronto Downtown,https://s3-media4.fl.yelpcdn.com/bphoto/PFaLlshibRalWCCigpJxag/o.jpg,False,https://www.yelp.com/biz/residence-inn-by-marriott-toronto-downtown-toronto?adjust_creative=2UZ2oPtSQaFl4RZKcxZVMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2UZ2oPtSQaFl4RZKcxZVMw,95,hotels,4.0,[],2.0,+14165811800,+1 416-581-1800,3320.7322179801645,43.64479,-79.39053,255 Wellington Street W,,,Toronto,M5V 3P9,CA,ON,"['255 Wellington Street W', 'Toronto, ON M5V 3P9', 'Canada']"
XHrPQKUTJXJGPH9etKUYUw,courtyard-by-marriott-toronto-downtown-toronto,Courtyard by Marriott Toronto Downtown,https://s3-media2.fl.yelpcdn.com/bphoto/d6S6gaOQabj-DlzfKuAeBQ/o.jpg,False,https://www.yelp.com/biz/courtyard-by-marriott-toronto-downtown-toronto?adjust_creative=2UZ2oPtSQaFl4RZKcxZVMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2UZ2oPtSQaFl4RZKcxZVMw,152,hotels,3.0,[],2.0,+14169240611,+1 416-924-0611,1718.0714295773023,43.662410285279776,-79.38314862769886,475 Yonge Street,,,Toronto,M4Y 1X7,CA,ON,"['475 Yonge Street', 'Toronto, ON M4Y 1X7', 'Canada']"
zYRBRfYuq_6x-wNKa8NqrA,le-germain-hotel-toronto,Le Germain Hotel,https://s3-media3.fl.yelpcdn.com/bphoto/m1977cTFNU8FWrTNgrANPw/o.jpg,False,https://www.yelp.com/biz/le-germain-hotel-toronto?adjust_creative=2UZ2oPtSQaFl4RZKcxZVMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2UZ2oPtSQaFl4RZKcxZVMw,55,hotels,4.5,[],3.0,+14163459500,+1 416-345-9500,3202.0973929848496,43.645751,-79.391025,30 Mercer Street,,,Toronto,M5V 1H3,CA,ON,"['30 Mercer Street', 'Toronto, ON M5V 1H3', 'Canada']"
PCkJAv7WQJ08C1RA6ilqWA,1-hotel-toronto-toronto,1 Hotel Toronto,https://s3-media4.fl.yelpcdn.com/bphoto/abOBDortl5UvugJ4BV3wGQ/o.jpg,False,https://www.yelp.com/biz/1-hotel-toronto-toronto?adjust_creative=2UZ2oPtSQaFl4RZKcxZVMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2UZ2oPtSQaFl4RZKcxZVMw,5,hotels,5.0,[],,+14166407778,+1 416-640-7778,3517.449544401622,43.64282577922675,-79.40143941982045,550 Wellington Street W,,,Toronto,M5V 2V4,CA,ON,"['550 Wellington Street W', 'Toronto, ON M5V 2V4', 'Canada']"
Gy6OUIcWYO_D5ccv4XiM1g,four-seasons-toronto-toronto,Four Seasons Toronto,https://s3-media3.fl.yelpcdn.com/bphoto/XHz_TVMb7V0o11BS6XFMNQ/o.jpg,False,https://www.yelp.com/biz/four-seasons-toronto-toronto?adjust_creative=2UZ2oPtSQaFl4RZKcxZVMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2UZ2oPtSQaFl4RZKcxZVMw,71,hotels,4.5,[],4.0,+14169640411,+1 416-964-0411,628.2462406795067,43.6718235014363,-79.3897868908398,60 Yorkville Avenue,,,Toronto,M4W 0A4,CA,ON,"['60 Yorkville Avenue', 'Toronto, ON M4W 0A4', 'Canada']"
UfAn5hKWiH1ZoM_SZ49lxg,kimpton-saint-george-hotel-toronto-2,Kimpton Saint George Hotel,https://s3-media3.fl.yelpcdn.com/bphoto/dZtM37ESxkc46HaDBZbiuA/o.jpg,False,https://www.yelp.com/biz/kimpton-saint-george-hotel-toronto-2?adjust_creative=2UZ2oPtSQaFl4RZKcxZVMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2UZ2oPtSQaFl4RZKcxZVMw,19,hotels,4.5,[],,+14169680010,+1 416-968-0010,815.1565534896661,43.6676,-79.40082,280 Bloor St W,,,Toronto,M5S 1V8,CA,ON,"['280 Bloor St W', 'Toronto, ON M5S 1V8', 'Canada']"
vC05Olj9gMpKEIXiVho7kg,hotel-x-toronto-by-library-hotel-collection-toronto-4,Hotel X Toronto by Library Hotel Collection,https://s3-media3.fl.yelpcdn.com/bphoto/17ooXx5suI89LOejv4bLFQ/o.jpg,False,https://www.yelp.com/biz/hotel-x-toronto-by-library-hotel-collection-toronto-4?adjust_creative=2UZ2oPtSQaFl4RZKcxZVMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2UZ2oPtSQaFl4RZKcxZVMw,43,hotels,4.5,[],,+16479439300,+1 647-943-9300,4764.949184863355,43.632847464349396,-79.41192874424236,111 Princes' Boulevard,,,Toronto,M6K 3C3,CA,ON,"[""111 Princes' Boulevard"", 'Toronto, ON M6K 3C3', 'Canada']"
lsKttgYGVmmeVU7dn8xDvQ,doubletree-by-hilton-hotel-toronto-downtown-toronto-2,DoubleTree by Hilton Hotel Toronto Downtown,https://s3-media2.fl.yelpcdn.com/bphoto/M03aieGlgNMx76Rj7H_3OA/o.jpg,False,https://www.yelp.com/biz/doubletree-by-hilton-hotel-toronto-downtown-toronto-2?adjust_creative=2UZ2oPtSQaFl4RZKcxZVMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2UZ2oPtSQaFl4RZKcxZVMw,109,hotels,3.5,[],2.0,+14169775000,+1 416-977-5000,2350.6736938212816,43.654634189582495,-79.38603490591049,108 Chestnut Street,,,Toronto,M5G 1R3,CA,ON,"['108 Chestnut Street', 'Toronto, ON M5G 1R3', 'Canada']"
KMIGb4GJ6BcksShOdmneWA,the-ritz-carlton-toronto-toronto-2,"The Ritz-Carlton, Toronto",https://s3-media1.fl.yelpcdn.com/bphoto/9pOV5hEGqxqZgerjBHwFnQ/o.jpg,False,https://www.yelp.com/biz/the-ritz-carlton-toronto-toronto-2?adjust_creative=2UZ2oPtSQaFl4RZKcxZVMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2UZ2oPtSQaFl4RZKcxZVMw,121,venues,4.0,[],4.0,+14165852500,+1 416-585-2500,3313.9147938650453,43.6453482728907,-79.3869441747665,181 Wellington Street W,,,Toronto,M5V 3G7,CA,ON,"['181 Wellington Street W', 'Toronto, ON M5V 3G7', 'Canada']"
